time,total_score,pending_tasks,completed_tasks,expired_tasks,charging_queue_total,avg_battery
260,6528.7219,1,74,3,0,72.4857
261,6528.7219,1,74,3,0,71.5857
262,6625.058,1,75,3,0,70.625
263,6807.4357,1,77,3,0,69.688
264,6904.4601,1,78,3,0,68.7838
265,6904.4601,1,78,3,0,67.8838
266,6998.0716,1,79,3,0,67.0751
267,6998.0716,1,79,3,0,66.3636
268,6938.0716,0,79,4,0,65.5505
269,6938.0716,0,79,4,0,65.2734
270,7035.1106,0,80,4,0,65.1465
271,7035.1106,0,80,4,0,64.9965
272,7035.1106,0,80,4,0,64.6985
273,7035.1106,0,80,4,0,64.5716
274,7035.1106,0,80,4,0,64.5716
275,7127.9133,0,81,4,0,64.4721
276,7218.8564,0,82,4,0,64.564
277,7218.8564,0,82,4,0,64.414
278,7218.8564,1,82,4,0,64.264
279,7218.8564,1,82,4,0,63.814
280,7406.034,1,84,4,0,63.5436
281,7406.034,1,84,4,0,63.0936
282,7406.034,1,84,4,0,62.694
283,7406.034,1,84,4,0,62.307
284,7406.034,1,84,4,0,61.9142
285,7498.9804,1,85,4,0,61.6458
286,7498.9804,1,85,4,0,61.1958
287,7498.9804,1,85,4,0,60.7458
288,7673.8914,1,87,4,0,60.4477
289,7673.8914,1,87,4,0,60.12
290,7673.8914,1,87,4,0,59.82
291,7673.8914,1,87,4,0,59.52
292,7673.8914,1,87,4,0,59.2944
293,7855.2274,1,89,4,0,59.204
294,7855.2274,1,89,4,0,59.654
295,7855.2274,1,89,4,0,60.104
296,7855.2274,1,89,4,0,60.554
297,7941.5676,1,90,4,0,60.9273
298,7941.5676,1,90,4,0,61.068
299,7941.5676,1,90,4,0,61.218
300,7941.5676,1,90,4,0,61.368
301,7941.5676,1,90,4,0,61.5612
302,7941.5676,1,90,4,0,61.2708
303,8034.2114,1,91,4,0,61.64
304,8127.1224,1,92,4,0,62.7585
305,8224.2035,1,93,4,0,63.6887
306,8224.2035,1,93,4,0,64.5887
307,8313.9102,1,94,4,0,65.4232
308,8313.9102,1,94,4,0,66.1732
309,8313.9102,1,94,4,0,67.0181
310,8313.9102,1,94,4,0,68.0154
311,8407.1793,1,95,4,0,68.8121
312,8500.8917,1,96,4,0,69.4309
313,8500.8917,1,96,4,0,69.8809
314,8500.8917,1,96,4,0,70.1809
315,8500.8917,1,96,4,0,70.4809
316,8596.3906,1,97,4,0,70.914
317,8596.3906,1,97,4,0,71.214
318,8690.7607,1,98,4,0,71.9367
319,8690.7607,1,98,4,0,72.0867
320,8690.7607,1,98,4,0,72.2367
321,8690.7607,1,98,4,0,71.9198
322,8690.7607,1,98,4,0,71.4067
323,8690.7607,2,98,4,0,71.5567
324,8690.7607,2,98,4,0,71.8351
325,8690.7607,2,98,4,0,71.898
326,8690.7607,2,98,4,0,72.648
327,8785.0865,2,99,4,0,73.519
328,8821.3846,1,100,5,0,74.352
329,8821.3846,1,100,5,0,75.102
330,8903.5422,1,101,5,0,75.8116
331,8903.5422,1,101,5,0,76.1116
332,8903.5422,1,101,5,0,76.4757
333,8903.5422,1,101,5,0,76.8602
334,9095.1034,1,103,5,0,77.4871
335,9095.1034,1,103,5,0,77.9371
336,9095.1034,1,103,5,0,78.2371
337,9190.1848,1,104,5,0,78.6007
338,9190.1848,1,104,5,0,79.0064
339,9190.1848,1,104,5,0,79.5275
340,9190.1848,1,104,5,0,79.5275
341,9373.2537,1,106,5,0,79.7557
342,9373.2537,1,106,5,0,79.2193
